valid_time,u10,v10,d2m,t2m,blh,cbh,sp,tcc,tp,latitude,longitude
2026-03-08 01:00:00,-0.58200073,-1.1324615,276.8429,280.98346,18.712307,1231.5098,101032.94,0.057739258,0.0,45.5,9.25
2026-03-08 02:00:00,0.048049927,-0.9898987,276.31116,280.50623,15.679975,1116.0944,101005.63,0.058288574,0.0,45.5,9.25
2026-03-08 03:00:00,0.25390625,-0.45437622,276.37967,279.97223,13.823066,1115.1017,100991.08,0.07650757,0.0,45.5,9.25
2026-03-08 04:00:00,0.29499817,-0.15222168,276.31335,279.65347,12.397478,1013.306,101006.984,0.10940552,0.0,45.5,9.25
2026-03-08 05:00:00,0.23300171,-0.10623169,276.10175,279.32617,12.183839,1008.36096,101001.78,0.16378784,0.0,45.5,9.25
2026-03-08 06:00:00,-0.06689453,-0.6667633,275.88974,279.02216,13.529231,1003.6338,101035.3,0.033355713,0.0,45.5,9.25
2026-03-08 07:00:00,-0.21788025,-0.65444946,276.04437,279.02054,16.417118,793.4967,101067.664,0.062805176,0.0,45.5,9.25
2026-03-08 08:00:00,-0.42799377,-0.08355713,278.60864,282.20807,80.6585,793.45953,101112.93,0.103149414,0.0,45.5,9.25
2026-03-08 09:00:00,-0.6384125,0.4326172,279.3642,285.1219,278.03946,1032.1675,101130.25,0.09786987,0.0,45.5,9.25
2026-03-08 10:00:00,-0.061965942,0.8110962,280.3042,287.29498,452.83035,1056.3785,101148.64,0.39608765,0.0,45.5,9.25
2026-03-08 11:00:00,0.008285522,0.66493225,280.31943,288.6933,690.08527,1235.8672,101127.33,0.024139404,0.0,45.5,9.25
2026-03-08 12:00:00,-0.037841797,0.074783325,280.28882,289.648,903.1748,,101067.09,0.006652832,0.0,45.5,9.25
2026-03-08 13:00:00,-0.09869385,-0.22607422,280.1537,290.3075,1038.3475,1207.1344,101026.92,0.0140686035,0.0,45.5,9.25
2026-03-08 14:00:00,-0.38136292,0.027709961,279.70972,290.4776,1113.0508,,100974.05,0.14144897,0.0,45.5,9.25
2026-03-08 15:00:00,-0.79623413,0.3517456,279.80798,290.35562,887.42914,2459.638,100936.34,0.065582275,0.0,45.5,9.25
2026-03-08 16:00:00,-1.0639038,0.53912354,280.6728,289.6038,613.7823,2541.62,100908.89,0.012786865,0.0,45.5,9.25
2026-03-08 17:00:00,-1.1343536,0.8172455,281.46805,287.8828,102.27371,2361.2087,100932.56,0.014038086,0.0,45.5,9.25
2026-03-08 18:00:00,-1.3430328,1.0883636,280.6324,285.49527,71.6964,2360.7253,100972.69,0.010131836,0.0,45.5,9.25
2026-03-08 19:00:00,-1.5669098,0.7926636,279.92157,283.86346,59.28366,,100998.375,0.005554199,0.0,45.5,9.25
2026-03-08 20:00:00,-2.0573578,0.44659424,279.20392,282.8133,46.773167,,101030.33,0.018920898,0.0,45.5,9.25
2026-03-08 21:00:00,-1.9871826,-0.010986328,278.7801,282.30893,33.87034,,101039.94,0.054382324,0.0,45.5,9.25
2026-03-08 22:00:00,-1.2858582,-1.4325714,279.2164,282.16077,33.23339,,101054.125,0.054870605,0.0,45.5,9.25
2026-03-08 23:00:00,-0.90289307,-1.5931854,279.25153,281.87186,27.479713,,101036.05,0.06802368,0.0,45.5,9.25
2026-03-09 00:00:00,-0.81492615,-1.3444061,279.18262,281.87064,19.833248,,101047.77,0.18582153,0.0,45.5,9.25
2026-03-09 01:00:00,-0.20732117,-1.0866241,279.59833,282.7146,15.0643835,1669.6641,101054.22,0.23730469,0.0,45.5,9.25
2026-03-09 02:00:00,0.12663269,-0.6451721,279.4665,282.19705,13.212108,2179.7305,101006.39,0.37527466,0.0,45.5,9.25
